invoice_number,store_code,transaction_timestamp,sku_code,quantity,unit_price,transaction_type,customer_id
INV-73507,FA-009,2025-06-19 14:50:10,SKU-1819,1,6935.71,SALE,LOYAL-1584
INV-12733,FA-004,2025-06-06 13:15:00,SKU-5695,2,3465.43,SALE,LOYAL-1759
INV-43640,FA-008,2025-06-21 01:33:06,SKU-0444,3,7610.91,SALE,LOYAL-1690
INV-58559,FA-007,2025-06-25 02:03:18,SKU-5575,4,9141.22,SALE,LOYAL-0449
INV-54375,FA-006,2025-06-05 22:15:02,SKU-1602,1,9054.15,SALE,LOYAL-3228
INV-41192,FA-010,2025-06-16 12:30:33,SKU-6725,4,7029.21,SALE,LOYAL-3156
INV-86821,FA-007,2025-06-19 07:30:29,SKU-6065,5,7066.99,SALE,LOYAL-3442
INV-96023,FA-007,2025-06-07 17:54:20,SKU-3129,5,2097.48,SALE,
INV-74873,FA-010,2025-06-17 02:50:00,SKU-8528,3,2615.44,SALE,LOYAL-1533
INV-15271,FA-003,2025-06-29 16:23:22,SKU-9388,5,4664.96,SALE,LOYAL-4197
INV-78285,FA-007,2025-06-19 15:58:51,SKU-4365,4,6949.34,SALE,LOYAL-0741
INV-57762,FA-008,2025-06-05 19:47:32,SKU-8157,1,8528.21,SALE,LOYAL-4728
INV-39929,FA-008,2025-06-30 12:59:28,SKU-7490,2,1841.26,SALE,LOYAL-4067
INV-28884,FA-006,2025-06-05 21:11:00,SKU-3286,2,9493.91,SALE,LOYAL-1610
INV-50877,FA-005,2025-06-03 22:31:58,SKU-5917,4,5211.74,SALE,LOYAL-3415
INV-48635,FA-006,2025-06-27 14:55:26,SKU-5511,2,4435.24,SALE,LOYAL-4156
INV-56875,FA-005,2025-06-28 15:48:11,SKU-7148,4,5313.86,SALE,LOYAL-3530
INV-55355,FA-001,2025-06-15 01:08:12,SKU-10106,4,5725.36,SALE,LOYAL-2207
INV-54421,FA-006,2025-06-10 14:49:07,SKU-4241,5,7504.8,SALE,LOYAL-2585
INV-94319,FA-007,2025-06-07 01:05:42,SKU-9060,1,5027.7,SALE,LOYAL-3095
INV-51034,FA-005,2025-06-08 10:16:35,SKU-9076,2,8957.26,SALE,LOYAL-1192
INV-36491,FA-005,2025-06-19 06:13:57,SKU-2768,1,2325.21,SALE,LOYAL-0131
INV-48170,FA-006,2025-06-04 07:10:39,SKU-6266,5,2620.43,SALE,LOYAL-3995
INV-96319,FA-006,2025-06-11 16:21:26,SKU-2917,1,1857.7,SALE,LOYAL-1180
INV-48591,FA-002,2025-06-17 12:33:33,SKU-3886,2,6300.28,SALE,LOYAL-1312
INV-91448,FA-005,2025-06-07 20:57:27,SKU-2284,5,1737.09,SALE,LOYAL-3900
INV-93081,FA-007,2025-06-02 08:06:47,SKU-5011,5,4085.67,SALE,LOYAL-4002
INV-29159,FA-006,2025-06-11 03:57:30,SKU-10147,5,2103.95,SALE,LOYAL-1801
INV-61278,FA-003,2025-06-19 07:37:51,SKU-4072,1,3505.97,SALE,LOYAL-4470
INV-82644,FA-007,2025-06-16 13:47:10,SKU-2684,3,6310.44,SALE,
INV-12704,FA-005,2025-06-01 17:12:24,SKU-4702,2,3230.5,SALE,LOYAL-1104
INV-30347,FA-001,2025-06-02 14:11:06,SKU-8359,3,4933.37,SALE,LOYAL-4468
INV-86486,FA-001,2025-06-03 23:28:40,SKU-4013,3,7165.33,SALE,LOYAL-2816
INV-78835,FA-007,2030-01-01 00:00:00,SKU-1208,4,6759.26,SALE,LOYAL-0579
INV-45681,FA-007,2025-06-18 02:23:32,SKU-8283,5,2515.33,SALE,LOYAL-2363
INV-67560,FA-006,2025-06-22 09:33:29,SKU-3286,5,2601.02,SALE,LOYAL-3368
INV-42112,FA-006,2025-06-06 01:02:30,SKU-8984,5,3916.1,SALE,LOYAL-0457
INV-47871,FA-004,2025-06-18 06:57:50,SKU-8393,2,2743.16,SALE,LOYAL-0533
INV-57928,FA-002,2025-06-10 17:53:12,SKU-8029,4,7909.67,SALE,LOYAL-1484
