invoice_number,store_code,transaction_timestamp,sku_code,quantity,unit_price,transaction_type,customer_id
INV-55148,FA-007,2026-01-17 21:08:46,SKU-9394,5,7303.81,SALE,LOYAL-3407
INV-95251,FA-008,2026-01-21 19:19:57,SKU-5041,1,2627.62,SALE,LOYAL-4109
INV-47869,FA-004,2026-01-17 21:01:53,SKU-0609,4,1298.08,SALE,LOYAL-3929
INV-82457,FA-001,2026-01-12 16:05:42,SKU-9993,3,9054.58,SALE,LOYAL-0625
INV-18581,FA-006,2026-01-26 03:03:17,SKU-4518,1,9044.56,SALE,LOYAL-3046
INV-97803,FA-001,2026-01-27 12:56:15,SKU-8489,5,4365.01,SALE,LOYAL-3091
INV-73125,FA-007,2026-01-18 04:55:01,SKU-3832,5,7186.19,SALE,LOYAL-3309
INV-24072,FA-008,2026-01-15 00:54:38,SKU-0526,2,6856.21,SALE,LOYAL-0562
INV-45625,FA-006,2030-01-01 00:00:00,SKU-9932,1,9771.74,SALE,LOYAL-3794
INV-69997,FA-002,2026-01-06 17:54:22,SKU-0239,2,3064.56,SALE,LOYAL-4068
INV-26039,FA-007,2026-01-14 05:18:55,SKU-1845,4,6988.39,SALE,LOYAL-0944
INV-49165,FA-004,2026-01-16 04:27:05,SKU-9278,3,2969.28,SALE,LOYAL-3807
INV-17561,FA-001,2026-01-30 05:36:27,SKU-3738,2,2732.68,SALE,LOYAL-1426
INV-87805,FA-010,2026-01-26 16:48:51,SKU-2397,3,5290.79,SALE,LOYAL-2427
INV-94214,FA-008,2026-01-17 18:46:05,SKU-4044,2,1869.15,SALE,LOYAL-3450
INV-34325,FA-002,2026-01-23 09:58:39,SKU-1494,2,8895.44,SALE,LOYAL-1438
INV-45939,FA-009,2026-01-19 22:16:55,SKU-8906,3,2234.39,SALE,LOYAL-3915
INV-74937,FA-010,2026-01-04 09:49:24,SKU-1903,3,5466.88,SALE,LOYAL-2266
INV-32437,FA-004,2026-01-21 00:59:39,SKU-7820,2,8264.79,SALE,LOYAL-0957
INV-49857,FA-008,2026-01-06 12:47:25,SKU-10564,1,4495.29,SALE,LOYAL-2760
INV-17353,FA-003,2026-01-20 02:53:41,SKU-10364,5,6342.98,SALE,
INV-88172,FA-009,2026-01-02 06:59:01,SKU-6183,4,356.65,SALE,LOYAL-1808
INV-75935,FA-006,2026-01-10 06:35:27,SKU-9705,2,7808.57,SALE,LOYAL-0791
INV-15932,FA-004,2026-01-07 17:44:59,SKU-5869,5,5394.41,SALE,LOYAL-4723
INV-48895,FA-003,2026-01-19 18:41:10,SKU-1207,5,6002.6,SALE,LOYAL-3097
INV-95973,FA-009,2026-01-27 09:40:41,SKU-9793,1,7047.1,SALE,LOYAL-4483
INV-19947,FA-001,2026-01-05 20:29:14,SKU-10070,4,4387.26,SALE,LOYAL-3399
INV-23908,FA-002,2026-01-08 14:27:18,SKU-9605,2,4405.82,SALE,LOYAL-2252
INV-25911,FA-008,2026-01-26 14:51:34,SKU-7759,3,681.7,SALE,
INV-53772,FA-003,2026-01-27 15:17:47,SKU-10357,2,3144.7,SALE,LOYAL-3479
INV-68168,FA-002,2026-01-08 07:49:27,SKU-2686,2,9699.94,SALE,LOYAL-0333
INV-70378,FA-010,2026-01-19 19:48:23,SKU-2446,1,2714.19,SALE,LOYAL-2881
INV-78996,FA-007,2026-01-10 18:19:14,SKU-4759,5,5139.21,SALE,LOYAL-1313
INV-52455,FA-002,2026-01-11 14:12:37,SKU-0314,3,4326.21,SALE,
INV-49258,FA-002,2026-01-21 00:24:59,SKU-10379,1,5179.25,SALE,LOYAL-1011
INV-32793,FA-007,2026-01-11 21:14:56,SKU-10625,3,1440.78,SALE,LOYAL-2458
INV-26739,FA-002,2026-01-25 02:50:43,SKU-2219,3,905.91,SALE,LOYAL-2838
INV-41238,FA-010,2026-01-29 02:14:36,SKU-6889,4,9643.32,SALE,LOYAL-0620
INV-49059,FA-009,2026-01-26 13:56:55,SKU-3092,2,2875.54,SALE,LOYAL-3595
INV-35642,FA-002,2026-01-02 10:21:08,SKU-9257,3,5060.7,SALE,LOYAL-0241
INV-70403,FA-007,2026-01-09 02:39:58,SKU-0039,5,4432.71,SALE,LOYAL-1547
INV-31079,FA-006,2026-01-24 07:43:41,SKU-1260,5,5466.47,SALE,LOYAL-0509
INV-25359,FA-010,2026-01-05 12:08:48,SKU-4259,4,9086.41,SALE,LOYAL-2215
INV-18944,FA-009,2026-01-08 01:51:34,SKU-2898,4,5708.56,SALE,LOYAL-1655
INV-68173,FA-001,2026-01-17 17:48:09,SKU-7514,3,5545.17,SALE,LOYAL-3426
INV-31820,FA-007,2026-01-07 21:15:28,SKU-3256,2,7247.51,SALE,LOYAL-3812
INV-69200,FA-003,2026-01-10 08:50:55,SKU-0537,1,5509.7,SALE,LOYAL-2918
INV-50197,FA-009,2026-01-21 04:39:17,SKU-5825,2,1114.19,SALE,LOYAL-4230
INV-38618,FA-002,2026-01-15 13:14:32,SKU-3064,3,2385.2,SALE,LOYAL-3353
INV-24647,FA-009,2026-01-08 02:40:24,SKU-1479,1,4511.43,SALE,LOYAL-3243
INV-89790,FA-010,2026-01-21 16:40:54,SKU-1143,4,5578.79,SALE,LOYAL-3843
INV-11838,FA-004,2026-01-15 21:09:40,SKU-7898,4,2677.47,SALE,LOYAL-2754
INV-63337,FA-003,2026-01-27 09:05:43,SKU-6693,2,6444.53,SALE,LOYAL-2972
INV-78039,FA-002,2026-01-13 10:15:20,SKU-2126,4,4894.51,SALE,LOYAL-0750
INV-66221,FA-007,2026-01-29 22:26:48,SKU-10021,3,1634.07,SALE,LOYAL-0588
INV-75837,FA-001,2026-01-15 23:24:36,SKU-1775,2,2555.75,SALE,LOYAL-3646
INV-78703,FA-003,2026-01-21 06:49:50,SKU-8468,4,5556.14,SALE,LOYAL-0340
INV-27880,FA-003,2026-01-01 16:23:37,SKU-9893,2,7989.4,SALE,LOYAL-2996
INV-66533,FA-005,2026-01-31 23:41:57,SKU-0949,4,1813.65,SALE,LOYAL-3189
INV-36804,FA-006,2026-01-23 07:00:58,SKU-5292,2,9943.54,SALE,LOYAL-1391
INV-82191,FA-010,2026-01-09 04:58:44,SKU-2611,2,1165.84,SALE,LOYAL-3319
INV-99585,FA-010,2026-01-11 06:56:20,SKU-8780,1,450.75,SALE,LOYAL-1462
INV-62473,FA-004,2026-01-10 20:55:55,SKU-5049,5,4218.57,SALE,LOYAL-4002
INV-34607,FA-008,2026-01-10 14:57:43,SKU-9442,2,1127.77,SALE,LOYAL-2747
INV-80372,FA-001,2026-01-23 08:19:39,SKU-5853,5,4665.83,SALE,LOYAL-2738
INV-16763,FA-001,2026-01-20 03:50:02,SKU-1029,1,2847.14,SALE,LOYAL-2263
INV-36694,FA-006,2026-01-13 10:00:34,SKU-7032,5,5813.53,SALE,LOYAL-3932
INV-24108,FA-007,2026-01-03 12:54:38,SKU-9461,2,820.78,SALE,LOYAL-2479
INV-19764,FA-002,2026-01-18 08:19:01,SKU-1915,1,519.06,SALE,LOYAL-4783
INV-32999,FA-006,2026-01-04 11:20:02,SKU-9670,5,1324.74,SALE,LOYAL-3183
INV-98011,FA-001,2026-01-29 09:04:24,SKU-3495,1,6313.98,SALE,LOYAL-1970
INV-17045,FA-009,2026-01-02 08:02:17,SKU-3159,3,4089.35,SALE,LOYAL-0569
INV-53293,FA-005,2026-01-31 07:05:58,SKU-7350,1,1117.82,SALE,
INV-32705,FA-006,2026-01-22 00:03:56,SKU-7394,5,3415.23,SALE,LOYAL-3156
INV-25675,FA-007,2026-01-13 04:15:38,SKU-5220,1,8192.58,SALE,LOYAL-3393
INV-55083,FA-002,2026-01-19 09:51:17,SKU-7794,2,7649.5,SALE,LOYAL-3316
INV-84237,FA-008,2026-01-05 19:40:03,SKU-6148,5,5599.6,SALE,LOYAL-3706
INV-27446,FA-009,2026-01-11 10:44:32,SKU-8904,4,321.62,SALE,LOYAL-4075
INV-24392,FA-010,2026-01-24 09:49:22,SKU-6047,5,3480.09,SALE,LOYAL-0950
