invoice_number,store_code,transaction_timestamp,sku_code,quantity,unit_price,transaction_type,customer_id
INV-24392,FA-008,2026-02-07 15:49:02,SKU-10447,2,6795.8,SALE,LOYAL-2754
INV-95595,FA-009,2026-02-15 12:49:07,SKU-9926,5,4046.58,SALE,LOYAL-2972
INV-72247,FA-010,2026-02-14 03:44:38,SKU-7045,5,1828.96,SALE,
INV-67451,FA-002,2026-02-28 19:09:28,SKU-7720,4,6203.08,SALE,LOYAL-0588
INV-33611,FA-007,2026-02-25 18:26:29,SKU-8149,3,7303.68,SALE,LOYAL-3646
INV-73999,FA-008,2026-02-27 07:47:54,SKU-0788,2,8668.44,SALE,LOYAL-0340
INV-26403,FA-001,2026-02-27 20:22:28,SKU-10596,2,6861.29,SALE,LOYAL-2996
INV-96203,FA-006,2026-02-08 11:38:54,SKU-0294,5,3664.03,SALE,
INV-98208,FA-006,2026-02-26 21:49:40,SKU-8263,3,8954.88,SALE,LOYAL-1391
INV-47934,FA-004,2026-02-08 14:47:25,SKU-0400,1,7504.16,SALE,LOYAL-3319
INV-75722,FA-010,2026-02-10 02:32:25,SKU-3208,2,811.85,SALE,LOYAL-1462
INV-54124,FA-006,2026-02-14 09:31:44,SKU-1025,4,5873.83,SALE,LOYAL-4002
INV-43914,FA-010,2026-02-24 20:17:47,SKU-7627,4,5410.9,SALE,LOYAL-2747
INV-69584,FA-004,2026-02-19 18:21:41,SKU-10030,4,8473.6,SALE,LOYAL-2738
INV-57143,FA-008,2026-02-12 22:17:02,SKU-2233,4,8469.04,SALE,LOYAL-2263
INV-95333,FA-005,2026-02-28 14:28:56,SKU-0740,5,4486.52,SALE,LOYAL-3932
INV-34737,FA-006,2026-02-20 07:13:08,SKU-8082,1,1107.04,SALE,
INV-73526,FA-006,2026-02-04 04:13:20,SKU-4146,1,3329.41,SALE,LOYAL-4783
INV-34125,FA-007,2026-02-07 15:38:19,SKU-3636,5,4685.86,SALE,LOYAL-3183
INV-67235,FA-010,2026-02-28 01:57:10,SKU-2342,3,6453.58,SALE,LOYAL-1970
INV-18032,FA-007,2026-02-05 12:03:58,SKU-8918,4,6787.12,SALE,LOYAL-0569
INV-68729,FA-010,2026-02-28 09:26:49,SKU-7514,5,4828.83,SALE,LOYAL-3524
INV-56999,FA-009,2026-02-06 21:59:19,SKU-1052,2,9755.23,SALE,LOYAL-3156
INV-73121,FA-007,2026-02-16 20:50:28,SKU-6634,2,9700.36,SALE,LOYAL-3393
INV-66217,FA-005,2026-02-13 21:37:28,SKU-9478,1,6836.24,SALE,LOYAL-3316
INV-48974,FA-004,2026-02-08 17:56:40,SKU-0802,4,9301.31,SALE,LOYAL-3706
INV-54899,FA-008,2026-02-23 01:32:48,SKU-10057,4,9426.98,SALE,LOYAL-4075
INV-50635,FA-008,2026-02-08 05:47:35,SKU-0542,2,8248.94,SALE,LOYAL-0950
INV-76687,FA-003,2026-02-14 20:38:30,SKU-6134,4,3845.9,SALE,LOYAL-4189
INV-73403,FA-006,2026-02-19 03:43:14,SKU-0093,5,4202.58,SALE,LOYAL-3332
INV-48834,FA-001,2026-02-06 05:04:25,SKU-8442,4,8361.99,SALE,LOYAL-0390
INV-43134,FA-009,2026-02-05 15:05:08,SKU-1470,2,7435.42,SALE,LOYAL-0643
INV-21368,FA-004,2026-02-03 13:56:52,SKU-2445,2,2064.8,SALE,LOYAL-2858
INV-11653,FA-004,2026-02-02 10:12:35,SKU-10810,5,3324.9,SALE,LOYAL-2654
INV-16184,FA-008,2026-02-25 10:51:56,SKU-6433,5,4654.98,SALE,
INV-88382,FA-005,2026-02-18 18:55:44,SKU-2061,4,2850.32,SALE,LOYAL-0849
INV-74958,FA-005,2026-02-19 01:49:31,SKU-4569,5,1331.15,SALE,LOYAL-4078
INV-54615,FA-001,2026-02-05 18:30:10,SKU-8430,1,9436.15,SALE,
INV-61858,FA-007,2026-02-26 22:05:43,SKU-6955,4,4036.61,SALE,LOYAL-1307
INV-77420,FA-010,2026-02-12 20:36:27,SKU-4153,5,1867.07,SALE,LOYAL-3172
INV-78207,FA-001,2026-02-03 08:00:56,SKU-10485,2,7884.18,SALE,LOYAL-4494
INV-86091,FA-006,2026-02-13 19:32:49,SKU-7833,1,1496.03,SALE,LOYAL-2536
INV-95945,FA-009,2026-02-12 18:27:16,SKU-9183,1,4170.94,SALE,LOYAL-2283
INV-53466,FA-009,2026-02-16 01:29:27,SKU-9274,5,7630.37,SALE,LOYAL-1174
INV-11862,FA-007,2026-02-20 07:01:57,SKU-0855,3,4247.15,SALE,LOYAL-4445
INV-84817,FA-005,2026-02-24 03:46:02,SKU-2517,3,9789.8,SALE,LOYAL-0400
INV-68605,FA-003,2026-02-09 15:29:09,SKU-3508,3,9129.06,SALE,
INV-12860,FA-007,2026-02-13 22:26:46,SKU-0141,5,520.26,SALE,LOYAL-4054
INV-38310,FA-009,2026-02-05 05:00:06,SKU-2220,1,365.4,SALE,
INV-46481,FA-008,2026-02-04 21:04:33,SKU-5552,2,4462.48,SALE,LOYAL-2813
INV-32510,FA-009,2026-02-09 14:14:59,SKU-4746,5,7067.12,SALE,
INV-42617,FA-009,2026-02-06 18:14:27,SKU-5690,4,8040.9,SALE,LOYAL-3035
INV-33336,FA-005,2026-02-23 16:03:19,SKU-0982,2,5699.07,SALE,LOYAL-3461
INV-55217,FA-005,2026-02-16 07:35:47,SKU-7077,4,6216.69,SALE,LOYAL-1496
INV-14582,FA-010,2026-02-14 08:15:26,SKU-6914,1,3515.04,SALE,LOYAL-0356
INV-94613,FA-006,2026-02-17 03:05:32,SKU-9462,3,7016.71,SALE,LOYAL-1067
INV-41417,FA-005,2026-02-05 14:13:26,SKU-7101,4,4935.05,SALE,LOYAL-3060
INV-74716,FA-005,2026-02-05 15:30:58,SKU-8753,3,4968.49,SALE,LOYAL-4696
INV-51976,FA-004,2026-02-20 15:45:12,SKU-8326,2,2488.61,SALE,LOYAL-0753
INV-75019,FA-008,2026-02-09 22:52:28,SKU-4190,4,7894.14,SALE,LOYAL-0830
INV-56464,FA-003,2026-02-17 00:53:32,SKU-3175,1,9358.9,SALE,LOYAL-1857
INV-45750,FA-002,2026-02-08 17:58:07,SKU-9231,1,2071.17,SALE,LOYAL-0124
INV-38476,FA-004,2026-02-01 23:38:38,SKU-7713,3,2281.66,SALE,LOYAL-3550
INV-27538,FA-006,2026-02-07 06:57:03,SKU-10711,5,5148.52,SALE,LOYAL-4267
INV-98241,FA-003,2026-02-15 00:15:05,SKU-3149,4,2198.45,SALE,
INV-34522,FA-009,2026-02-23 04:03:54,SKU-8576,5,317.96,SALE,LOYAL-4043
INV-25603,FA-010,2026-02-26 01:53:05,SKU-3551,2,5666.33,SALE,LOYAL-1839
INV-80114,FA-010,2026-02-11 08:42:50,SKU-0713,1,8695.3,SALE,LOYAL-4186
INV-71585,FA-007,2026-02-11 07:17:29,SKU-6663,2,5948.84,SALE,LOYAL-2504
INV-32656,FA-008,2026-02-08 12:10:15,SKU-1865,3,7625.46,SALE,
INV-10530,FA-003,2030-01-01 00:00:00,SKU-2608,3,3876.8,SALE,LOYAL-3168
INV-75950,FA-008,2026-02-23 10:55:30,SKU-10269,3,2814.8,SALE,LOYAL-4571
INV-76773,FA-002,2026-02-24 13:46:54,SKU-3699,5,5803.91,SALE,LOYAL-1497
INV-19098,FA-006,2026-02-18 23:43:58,SKU-4852,5,6032.52,SALE,LOYAL-2229
INV-73229,FA-006,2026-02-16 10:38:49,SKU-8156,4,3374.76,SALE,LOYAL-4841
INV-28313,FA-002,2026-02-21 10:33:56,SKU-8348,4,3328.25,SALE,LOYAL-3322
INV-40243,FA-004,2026-02-01 01:01:23,SKU-2848,3,3092.98,SALE,LOYAL-0032
INV-41360,FA-001,2026-02-15 00:36:46,SKU-1124,1,7264.36,SALE,LOYAL-4065
INV-10910,FA-003,2026-02-24 02:01:34,SKU-3086,3,3663.65,SALE,LOYAL-4275
INV-49109,FA-002,2026-02-19 18:57:24,SKU-2856,3,7225.61,SALE,LOYAL-4837
INV-65709,FA-001,2026-02-24 11:37:04,SKU-5380,2,2459.57,SALE,LOYAL-2119
INV-34811,FA-001,2026-02-01 20:46:33,SKU-4337,2,8728.54,SALE,LOYAL-1573
INV-81613,FA-009,2026-02-22 01:53:06,SKU-4634,1,9228.52,SALE,LOYAL-1194
INV-61633,FA-006,2026-02-18 20:49:35,SKU-8935,1,5924.36,SALE,LOYAL-0924
INV-65786,FA-009,2026-02-24 11:33:45,SKU-0985,2,1149.7,SALE,LOYAL-4246
INV-27701,FA-008,2026-02-07 12:53:19,SKU-8490,1,3087.32,SALE,LOYAL-2849
INV-53182,FA-006,2026-02-19 17:53:59,SKU-10590,4,8204.07,SALE,LOYAL-2334
INV-43368,FA-005,2026-02-25 16:42:00,SKU-5071,2,6747.03,SALE,LOYAL-4124
INV-11215,FA-010,2026-02-22 20:23:16,SKU-9073,1,8620.81,SALE,LOYAL-2084
INV-26948,FA-008,2026-02-06 09:25:17,SKU-9506,5,1555.99,SALE,
INV-86443,FA-002,2026-02-24 23:00:05,SKU-0387,1,1737.05,SALE,LOYAL-0510
INV-30213,FA-006,2026-02-07 00:57:14,SKU-9521,2,7214.21,SALE,LOYAL-3581
INV-31398,FA-001,2026-02-28 09:34:43,SKU-8723,3,7557.22,SALE,LOYAL-4596
INV-40141,FA-010,2026-02-06 13:06:50,SKU-4557,3,1006.8,SALE,LOYAL-1063
