invoice_number,store_code,transaction_timestamp,sku_code,quantity,unit_price,transaction_type,customer_id
INV-95334,FA-005,2025-07-20 18:46:47,SKU-3746,5,2602.0,SALE,LOYAL-4630
INV-87883,FA-001,2025-07-13 14:37:33,SKU-4223,1,6408.08,SALE,LOYAL-1778
INV-87257,FA-002,2025-07-30 08:47:23,SKU-1668,4,6279.99,SALE,LOYAL-0401
INV-85934,FA-001,2025-07-22 18:19:23,SKU-5416,2,4921.58,SALE,LOYAL-2324
INV-90048,FA-005,2025-07-06 14:44:37,SKU-10198,5,2955.49,SALE,LOYAL-0366
INV-12584,FA-006,2025-07-27 22:11:34,SKU-1179,2,8447.25,SALE,LOYAL-4513
INV-86822,FA-004,2025-07-22 18:03:49,SKU-6967,3,7440.35,SALE,LOYAL-4138
INV-34706,FA-001,2025-07-18 15:55:11,SKU-9784,4,5336.35,SALE,
INV-98654,FA-006,2025-07-26 10:49:41,SKU-9175,2,1979.29,SALE,LOYAL-0544
INV-35887,FA-008,2025-07-28 17:57:46,SKU-3456,3,5574.75,SALE,LOYAL-3352
INV-30283,FA-001,2025-07-07 12:21:19,SKU-4239,1,4073.82,SALE,LOYAL-4751
INV-74334,FA-006,2025-07-03 19:59:20,SKU-9665,3,5909.84,SALE,LOYAL-2086
INV-46769,FA-003,2025-07-14 07:02:42,SKU-8200,4,4834.75,SALE,LOYAL-1739
INV-93720,FA-002,2025-07-05 01:57:50,SKU-10397,2,4761.94,SALE,LOYAL-0801
INV-80005,FA-003,2025-07-01 22:37:28,SKU-3987,1,7211.45,SALE,LOYAL-2667
INV-32661,FA-002,2025-07-06 12:18:17,SKU-10326,1,314.07,SALE,LOYAL-3764
INV-33590,FA-010,2025-07-31 13:29:59,SKU-7942,2,3277.06,SALE,LOYAL-3015
INV-32029,FA-002,2025-07-10 22:37:56,SKU-4879,3,1775.37,SALE,LOYAL-1969
INV-41255,FA-010,2025-07-25 12:11:39,SKU-10240,4,6293.24,SALE,LOYAL-1812
INV-23138,FA-002,2025-07-14 00:31:02,SKU-3193,2,9365.27,SALE,LOYAL-2788
INV-44461,FA-005,2025-07-02 11:22:54,SKU-10756,1,1015.68,SALE,LOYAL-2195
INV-16076,FA-006,2025-07-25 00:17:49,SKU-4748,1,7271.83,SALE,LOYAL-0685
INV-64173,FA-009,2025-07-10 11:22:24,SKU-5440,2,6674.67,SALE,LOYAL-4165
INV-55427,FA-003,2025-07-10 12:58:23,SKU-4295,3,2408.11,SALE,LOYAL-1905
INV-50146,FA-004,2025-07-04 21:20:08,SKU-0269,4,3610.35,SALE,LOYAL-3989
INV-70159,FA-004,2025-07-29 08:02:32,SKU-9814,5,7551.75,SALE,LOYAL-1091
INV-18770,FA-006,2025-07-28 09:38:00,SKU-0111,1,3501.94,SALE,LOYAL-4180
INV-57942,FA-008,2025-07-15 08:20:13,SKU-3386,3,6058.21,SALE,LOYAL-3331
INV-12362,FA-008,2025-07-18 17:43:21,SKU-1191,4,2269.96,SALE,
INV-62519,FA-005,2025-07-02 00:21:55,SKU-4319,5,922.39,SALE,
INV-91350,FA-006,2025-07-04 15:57:48,SKU-5047,2,8107.69,SALE,LOYAL-1245
INV-84184,FA-004,2025-07-21 10:59:17,SKU-0295,1,2441.16,SALE,LOYAL-4466
INV-99342,FA-003,2025-07-09 15:28:49,SKU-3016,5,2856.88,SALE,LOYAL-3651
INV-51492,FA-006,2025-07-28 21:34:42,SKU-10360,1,2073.96,SALE,LOYAL-2802
INV-93403,FA-006,2025-07-03 18:14:47,SKU-4390,1,6541.62,SALE,LOYAL-3275
INV-15277,FA-002,2025-07-23 02:20:16,SKU-1461,4,9090.21,SALE,LOYAL-2575
INV-58463,FA-008,2025-07-04 09:36:21,SKU-4198,2,4839.74,SALE,LOYAL-1720
INV-96521,FA-009,2025-07-31 21:03:17,SKU-10309,4,4951.06,SALE,LOYAL-1612
INV-39651,FA-007,2025-07-19 08:48:04,SKU-0001,5,5758.62,SALE,LOYAL-1423
INV-37313,FA-009,2025-07-01 07:56:35,SKU-3590,3,3010.08,SALE,LOYAL-1954
INV-17535,FA-002,2025-07-13 11:04:55,SKU-1863,4,1071.25,SALE,LOYAL-3109
INV-61166,FA-001,2025-07-29 06:24:52,SKU-8893,5,7487.56,SALE,LOYAL-2896
INV-78227,FA-002,2025-07-31 12:18:13,SKU-1199,2,9620.12,SALE,LOYAL-3114
INV-35905,FA-007,2025-07-25 21:30:59,SKU-4780,1,8935.53,SALE,
INV-21164,FA-005,2025-07-31 09:13:36,SKU-0933,3,7408.03,SALE,LOYAL-0270
INV-80601,FA-003,2025-07-28 19:59:20,SKU-0668,2,8199.84,SALE,LOYAL-1584
INV-37400,FA-008,2025-07-18 22:13:43,SKU-7062,1,4150.76,SALE,LOYAL-1759
INV-43552,FA-007,2025-07-18 00:00:47,SKU-1451,2,8035.87,SALE,LOYAL-1690
INV-96888,FA-002,2025-07-28 16:53:41,SKU-8039,2,9230.73,SALE,LOYAL-0449
INV-26335,FA-001,2025-07-17 15:16:11,SKU-2086,1,6187.99,SALE,LOYAL-3228
INV-26915,FA-008,2025-07-09 14:05:47,SKU-0883,5,5250.2,SALE,LOYAL-3156
INV-44657,FA-004,2025-07-03 09:09:18,SKU-10455,3,6517.75,SALE,LOYAL-3442
INV-56914,FA-009,2025-07-23 07:04:03,SKU-7264,1,8908.7,SALE,LOYAL-0075
INV-24973,FA-005,2025-07-15 03:32:03,SKU-6805,5,5924.68,SALE,LOYAL-1533
INV-85783,FA-004,2025-07-28 13:50:50,SKU-3356,2,5317.96,SALE,LOYAL-4197
INV-88081,FA-008,2030-01-01 00:00:00,SKU-5788,2,1908.19,SALE,LOYAL-0741
INV-36116,FA-009,2025-07-31 15:27:25,SKU-9723,1,8053.0,SALE,LOYAL-4728
INV-43618,FA-003,2025-07-19 14:22:47,SKU-5393,1,2633.15,SALE,LOYAL-4067
