invoice_number,store_code,transaction_timestamp,sku_code,quantity,unit_price,transaction_type,customer_id
INV-59334,FA-010,2025-04-23 23:19:38,SKU-9970,5,9228.61,SALE,LOYAL-3114
INV-95855,FA-003,2030-01-01 00:00:00,SKU-4693,4,5955.5,SALE,LOYAL-4441
INV-73507,FA-006,2025-04-07 21:14:01,SKU-5935,3,4828.31,SALE,LOYAL-0270
INV-12733,FA-006,2025-04-22 05:47:57,SKU-4530,5,4951.01,SALE,LOYAL-1584
INV-43640,FA-009,2025-04-10 01:34:33,SKU-4612,5,6981.38,SALE,LOYAL-1759
INV-58559,FA-004,2025-04-10 03:20:16,SKU-8583,1,5138.28,SALE,LOYAL-1690
INV-54375,FA-008,2025-04-19 14:50:10,SKU-8377,5,3894.26,SALE,LOYAL-0449
INV-41192,FA-007,2025-04-06 13:15:00,SKU-4863,4,515.03,SALE,
INV-86821,FA-006,2025-04-21 01:33:06,SKU-1819,5,5955.42,SALE,LOYAL-3156
INV-96023,FA-010,2025-04-25 02:03:18,SKU-5695,1,3892.76,SALE,LOYAL-3442
INV-74873,FA-007,2025-04-05 22:15:02,SKU-0444,2,454.4,SALE,LOYAL-0075
INV-15271,FA-007,2025-04-16 12:30:33,SKU-5575,3,6935.71,SALE,LOYAL-1533
INV-78285,FA-010,2025-04-19 07:30:29,SKU-1602,4,3465.43,SALE,LOYAL-4197
INV-57762,FA-003,2025-04-07 17:54:20,SKU-6725,1,7610.91,SALE,LOYAL-0741
INV-39929,FA-007,2025-04-17 02:50:00,SKU-6065,4,9141.22,SALE,LOYAL-4728
INV-28884,FA-008,2025-04-29 16:23:22,SKU-3129,5,9054.15,SALE,LOYAL-4067
INV-50877,FA-008,2025-04-19 15:58:51,SKU-8528,5,7029.21,SALE,LOYAL-1610
INV-48635,FA-006,2025-04-05 19:47:32,SKU-9388,3,7066.99,SALE,LOYAL-3415
INV-56875,FA-005,2025-04-30 12:59:28,SKU-4365,5,2097.48,SALE,LOYAL-4156
INV-55355,FA-006,2025-04-05 21:11:00,SKU-8157,4,2615.44,SALE,LOYAL-3530
INV-54421,FA-005,2025-04-03 22:31:58,SKU-7490,1,4664.96,SALE,LOYAL-2207
INV-94319,FA-001,2025-04-27 14:55:26,SKU-3286,2,6949.34,SALE,LOYAL-2585
INV-51034,FA-006,2025-04-28 15:48:11,SKU-5917,2,8528.21,SALE,LOYAL-3095
INV-36491,FA-007,2025-04-15 01:08:12,SKU-5511,4,1841.26,SALE,LOYAL-1192
INV-48170,FA-005,2025-04-10 14:49:07,SKU-7148,2,9493.91,SALE,LOYAL-0131
INV-96319,FA-005,2025-04-07 01:05:42,SKU-10106,4,5211.74,SALE,LOYAL-3995
INV-48591,FA-006,2025-04-08 10:16:35,SKU-4241,4,4435.24,SALE,LOYAL-1180
INV-91448,FA-006,2025-04-19 06:13:57,SKU-9060,5,5313.86,SALE,LOYAL-1312
INV-93081,FA-002,2025-04-04 07:10:39,SKU-9076,1,5725.36,SALE,LOYAL-3900
