order_uuid|hub_id|item_barcode|units_sold|mrp_price|discount_applied|delivery_timestamp|status
b24247725479c122|5d16f4b7|991201337774|3|3879.3|5.56|2026-02-25 16:23:11|DELIVERED
ee220d36fb702b0d|9e2e76ba|996346861439|1|4661.36|115.65|2026-02-07 07:28:26|DELIVERED
7bada2397cbb90bb|24bcedfd|993674506645|1|5114.68|464.35|2026-02-07 06:41:40|DELIVERED
b2837862dd6c5aca|39c3367c|993176428410|3|7891.25|153.28|2026-02-09 03:42:48|RETURNED
ef649343d8cd1b3f|e610eb99|996069745348|1|8704.76|241.42|2026-02-17 02:06:51|DELIVERED
8c30d72e96cdd300|70c9f98a|992758899955|1|7161.98|95.47|2026-02-11 02:27:18|DELIVERED
60ce7e3963f01d6a|e610eb99|991118370939|3|7177.49|491.15|2026-02-24 02:25:50|DELIVERED
ccb6b96c41cf4dec|b5f09765|991815983713|2|610.15|237.67|2026-02-13 03:58:14|DELIVERED
ebd5653187218cdb|d84cb367|994464596625|2|7329.06|32.83|2026-02-09 11:49:50|DELIVERED
b93f847e783bf69d|65f17b3a|998687197565|2|5624.5|183.1|2026-02-07 19:21:47|DELIVERED
ef57c32f52114827|a9839725|991339825210|2|653.1|15.77|2026-02-18 06:42:12|DELIVERED
4dba5e7865b50e49|a54458b6|998634874983|1|5791.35|66.33|2026-02-08 14:20:47|DELIVERED
3df96f316532c01a|e571ec26|991117694347|2|613.44|278.83|2026-02-24 12:32:02|RETURNED
4d6e578b36f9af01|f6f43730|992961609759|2|6063.27|419.24|2026-02-24 22:27:12|DELIVERED
8d5662adf96a4488|04984b48|998836498572|1|1051.02|97.6|2026-02-11 17:32:19|RETURNED
bbc0121355a76c23|69733f4a|993086445048|1|1450.37|351.46|2026-02-12 23:01:45|DELIVERED
97d58413ec5ee618|722f9321|995373851792|1|9881.77|175.42|2026-02-13 14:37:36|DELIVERED
35feee89f4200f37|d5f48121|994468382838|1|4206.93|108.99|2026-02-25 19:25:41|DELIVERED
a8ad668ce1c4978a|322fefb9|997839870179|3|4594.2|426.68|2026-02-03 23:20:24|DELIVERED
ba377ac8971b6fcd|ca076772|998454139852|1|7783.25|403.49|2026-02-10 14:02:24|DELIVERED
6efe3ecefb9d35bd|65f17b3a|999587189389|2|7373.26|192.68|2026-02-01 11:10:00|CANCELLED
582ec3c3cc9ce784|636b4b9e|997927084276|3|4378.68|217.19|2026-02-03 23:13:38|RETURNED
d72495ce4535dd20|5018d166|999680311411|3|1522.87|141.98|2026-02-07 23:07:43|RETURNED
d3215d636b3e6ab9|7b93b697|996712248791|1|8587.96|366.22|2026-02-03 02:12:54|RETURNED
44dc5713a173fbba|2bcde86b|997711639632|2|2827.75|399.42|2026-02-16 10:16:36|DELIVERED
6947edfa57ea12fa|d8846960|994792784484|2|8886.85|16.7|2026-02-17 21:36:02|DELIVERED
