order_uuid|hub_id|item_barcode|units_sold|mrp_price|discount_applied|delivery_timestamp|status
fcb50176f7fa2dd5|6c80515b|993110869979|3|4218.18|159.39|2025-10-24 08:40:33|DELIVERED
7e842ae1fa7da585|8262848f|994046699950|1|4761.35|28.73|2025-10-22 16:51:55|DELIVERED
70157a98a579bba8|f3f5b4d7|998156646439|2|7808.88|470.36|2025-10-31 07:39:28|DELIVERED
ad3c652dfc234f54|250154c8|995458274245|3|6120.87|268.49|2025-10-16 07:32:17|DELIVERED
103739b8c714f252|70c9f98a|999824101350|1|7809.41|200.79|2025-10-30 05:07:02|DELIVERED
82b554639b0a7544|d5196d96|994261726378|2|8747.16|430.03|2025-10-31 15:08:23|DELIVERED
c2b3c85c884e397a|81812a55|992230621805|1|873.04|484.01|2025-10-17 19:10:19|DELIVERED
72c7511603bade0a|41ade4df|991957060602|1|4822.54|350.43|2025-10-28 19:02:20|DELIVERED
9af2cf7e5ac0e0a3|ca29c861|996021510862|1|8299.36|78.42|2025-10-20 16:51:54|DELIVERED
0f2f6033642ca404|ede4d263|999618060636|2|2085.83|129.27|2025-10-14 18:40:34|DELIVERED
5423428bced15213|1f9117ce|998833732210|2|5085.2|226.47|2025-10-24 23:24:42|DELIVERED
a1de47be1104d64f|0e25e59d|998227684095|3|2658.05|94.23|2025-10-29 15:15:13|DELIVERED
3982fd1fe9b90b07|98b46ff0|993649844605|2|9232.37|31.33|2025-10-28 02:36:24|DELIVERED
31aac41497296b9e|304f0d9a|993706062200|1|4645.63|481.51|2025-10-15 15:45:48|DELIVERED
086072abefbe1855|a99ed070|999574161970|1|6884.67|365.03|2025-10-13 14:57:28|DELIVERED
6d1b72dcdf312f26|86df0ee8|997225207944|2|5048.75|157.69|2025-10-13 15:19:40|DELIVERED
e6a7608eb4bdf931|9bab23e6|991500757782|2|7297.69|490.48|2025-10-09 15:16:48|DELIVERED
0fe301ce9808f312|f8e22a63|993000084818|1|9647.65|159.56|2025-10-13 18:10:44|DELIVERED
2d257142042b4af0|cc9c22cc|991014591483|2|8050.14|103.65|2025-10-13 01:49:48|DELIVERED
1e04530570c5ed2f|5018d166|999836873476|3|7222.22|129.38|2025-10-22 14:20:52|DELIVERED
fcf12191d9145b82|b5f09765|998948216539|1|8092.11|74.27|2025-10-25 13:23:18|DELIVERED
335b774cf532b551|04eb9aef|991150286554|3|4019.31|113.61|2025-10-13 02:21:00|DELIVERED
7868c101b64276fa|c27a0176|996744483134|2|6451.58|122.79|2025-10-26 05:03:26|DELIVERED
1073bd8f437c8235|f7df1e18|992206405587|2|8004.73|433.22|2025-10-19 16:48:16|DELIVERED
0797d2b94dbbb565|d8209aed|992426093494|1|5870.42|254.21|2025-10-16 11:02:26|DELIVERED
fab5aff82e8973ea|304f0d9a|997568591469|1|3408.15|470.51|2025-10-31 18:45:48|DELIVERED
40b6318ed0f88888|8e5a49db|995405665242|3|4118.54|366.02|2025-10-17 15:00:55|RETURNED
d693c51a27055a43|c0db3a65|997267435607|3|387.35|342.19|2025-10-10 13:53:26|DELIVERED
74b5e33080270f05|7ec2dd8c|993541832208|2|7610.28|119.5|2025-10-16 03:38:04|DELIVERED
bb185ee33abed670|9e339495|995337942372|1|9298.6|284.56|2025-10-11 13:46:31|DELIVERED
1e013e75abc676f4|cc9c22cc|992169770385|1|5773.27|478.52|2025-10-23 15:05:17|DELIVERED
e07c9b9255ef83b7|acafdcd3|993235681368|3|1958.23|41.4|2025-10-28 00:02:28|DELIVERED
f6c5e96e6c926775|35dd7f2f|997508080110|1|786.23|6.84|2025-10-01 15:43:20|DELIVERED
4540b564cfebb45b|eb608934|995302981174|3|4850.46|227.57|2025-10-23 06:54:50|DELIVERED
5a146526f4eebba0|865b89d1|994134656631|1|4830.07|62.33|2025-10-11 11:04:36|DELIVERED
c0665531c9d2b9a0|ada57291|994481729213|1|8033.42|139.04|2025-10-14 15:58:14|RETURNED
ab5188923f90896f|c273f006|993027654060|1|6609.95|19.04|2025-10-13 07:45:54|DELIVERED
