order_uuid|hub_id|item_barcode|units_sold|mrp_price|discount_applied|delivery_timestamp|status
fcb50176f7fa2dd5|9a120083|995254551934|1|772.38|440.21|2025-08-04 11:41:21|DELIVERED
7e842ae1fa7da585|09aec8ad|997140545743|2|333.73|337.24|2025-08-21 16:28:27|DELIVERED
70157a98a579bba8|14de959e|993518360923|2|7324.67|477.09|2025-08-14 01:38:54|DELIVERED
ad3c652dfc234f54|fdd2c1a9|999992475278|3|3899.41|15.22|2025-08-25 10:55:27|DELIVERED
103739b8c714f252|7b3e1e6d|991723919159|1|7332.31|28.26|2025-08-08 17:17:51|CANCELLED
82b554639b0a7544|a04819da|994334316489|3|1589.16|210.45|2025-08-20 01:42:45|DELIVERED
c2b3c85c884e397a|4f5592ff|995975353972|3|968.59|25.48|2025-08-19 06:44:06|DELIVERED
72c7511603bade0a|d5f48121|996675833287|1|2103.72|147.33|2025-08-01 23:38:00|DELIVERED
9af2cf7e5ac0e0a3|4a0c6a67|999704515451|2|8432.76|415.87|2025-08-25 21:28:24|DELIVERED
0f2f6033642ca404|81fe4b6d|994478646591|3|5774.83|288.94|2025-08-22 03:05:34|DELIVERED
5423428bced15213|3b985f44|996111154894|3|5674.81|58.58|2025-08-27 09:08:35|DELIVERED
a1de47be1104d64f|f8e22a63|999951096799|2|8030.75|108.32|2025-08-21 08:54:32|DELIVERED
3982fd1fe9b90b07|774f5641|997557387052|3|6519.81|396.72|2025-08-08 18:59:56|DELIVERED
31aac41497296b9e|b109d0dd|994131320991|2|9864.98|-1000.0|2025-08-28 09:36:04|DELIVERED
086072abefbe1855|91fc1c50|991522723882|3|440.07|5.69|2025-08-02 06:59:12|DELIVERED
6d1b72dcdf312f26|39c3367c|999133386629|3|1775.13|163.99|2025-08-28 08:12:26|DELIVERED
e6a7608eb4bdf931|8be78cc3|998749081484|1|1092.87|222.17|2025-08-08 16:42:02|DELIVERED
0fe301ce9808f312|39c3367c|995409740223|2|7304.98|222.69|2025-08-23 23:19:30|DELIVERED
2d257142042b4af0|636b4b9e|998549965502|3|4459.31|202.02|2025-08-09 20:56:49|DELIVERED
1e04530570c5ed2f|49e5616e|992370149251|2|9192.34|230.02|2025-08-13 17:09:26|DELIVERED
fcf12191d9145b82|7b3e1e6d|994114103752|1|4251.28|387.11|2025-08-13 05:06:57|DELIVERED
335b774cf532b551|2b16ceb4|992923126844|3|6216.98|300.1|2025-08-04 11:08:48|DELIVERED
7868c101b64276fa|041af291|998103898775|1|8997.91|387.13|2025-08-26 20:44:17|DELIVERED
1073bd8f437c8235|c0db3a65|998242933930|2|2040.15|435.47|2025-08-02 15:06:37|RETURNED
0797d2b94dbbb565|7d342699|997295314296|2|8677.67|29.59|2025-08-16 12:46:52|DELIVERED
fab5aff82e8973ea|fff4b5d0|991560509045|3|8408.37|233.17|2025-08-06 13:38:00|DELIVERED
